Algorithm,Data Rate (Gbps),Duration (s),Packet Loss Rate (%),Throughput (Gbps),Avg Hop Count
GRLR,1.8,100,18.0655,1.259036,11.4
GRLR,2.0,10,0.0008,1.652884,11.4
GRLR,2.0,20,1.8494,1.622386,11.4
GRLR,2.0,30,5.7045,1.558675,11.4
GRLR,2.0,40,8.8271,1.507062,11.4
GRLR,2.0,50,11.3777,1.464900,11.4
GRLR,2.0,60,13.4941,1.429915,11.4
GRLR,2.0,70,15.2792,1.400406,11.4
GRLR,2.0,80,16.8056,1.375173,11.4
GRLR,2.0,90,18.1259,1.353345,11.4
GRLR,2.0,100,19.2819,1.334235,11.4
GRLR,2.2,10,0.0301,1.756722,11.4
GRLR,2.2,20,2.8906,1.706533,11.4
GRLR,2.2,30,6.8013,1.637819,11.4
GRLR,2.2,40,9.9371,1.582713,11.4
GRLR,2.2,50,12.4878,1.537889,11.4
GRLR,2.2,60,14.6042,1.500695,11.4
GRLR,2.2,70,16.3893,1.469322,11.4
GRLR,2.2,80,17.9156,1.442495,11.4
GRLR,2.2,90,19.2420,1.419183,11.4
GRLR,2.2,100,20.4060,1.398726,11.4
GRLR,2.4,10,0.1246,1.847950,11.4
GRLR,2.4,20,3.8876,1.778404,11.4
GRLR,2.4,30,7.8201,1.705648,11.4
GRLR,2.4,40,10.9560,1.647626,11.4
GRLR,2.4,50,13.5066,1.600430,11.4
GRLR,2.4,60,15.6230,1.561267,11.4
GRLR,2.4,70,17.4081,1.528233,11.4
GRLR,2.4,80,18.9425,1.499838,11.4
GRLR,2.4,90,20.2738,1.475204,11.4
GRLR,2.4,100,21.4378,1.453664,11.4
GRLR,2.6,10,0.3316,1.926232,11.4
GRLR,2.6,20,4.8141,1.839670,11.4
GRLR,2.6,30,8.7585,1.763446,11.4
GRLR,2.6,40,11.8944,1.702841,11.4
GRLR,2.6,50,14.4450,1.653544,11.4
GRLR,2.6,60,16.5614,1.612636,11.4
GRLR,2.6,70,18.3550,1.577968,11.4
GRLR,2.6,80,19.8928,1.548246,11.4
GRLR,2.6,90,21.2240,1.522514,11.4
GRLR,2.6,100,22.3881,1.500015,11.4
GRLR,2.8,10,0.7419,1.990350,11.4
GRLR,2.8,20,5.6727,1.891526,11.4
GRLR,2.8,30,9.6257,1.812268,11.4
GRLR,2.8,40,12.7615,1.749388,11.4
GRLR,2.8,50,15.3122,1.698239,11.4
GRLR,2.8,60,17.4361,1.655646,11.4
GRLR,2.8,70,19.2332,1.619609,11.4
GRLR,2.8,80,20.7709,1.588770,11.4
GRLR,2.8,90,22.1022,1.562072,11.4
GRLR,2.8,100,23.2662,1.538728,11.4
DR,1.0,10,0.0082,0.948138,10.5
DR,1.0,20,0.1652,0.946653,10.5
DR,1.0,30,1.3912,0.935040,10.5
