Algorithm,Data Rate (Gbps),Duration (s),Packet Loss Rate (%),Throughput (Gbps),Avg Hop Count
GRLR,2.8,70,20.2211,1.585212,11.4
GRLR,2.8,80,21.7411,1.555008,11.4
GRLR,2.8,90,23.0519,1.528960,11.4
GRLR,2.8,100,24.1941,1.506260,11.4
DR,1.0,10,0.0000,0.947015,10.7
DR,1.0,20,0.1412,0.945680,10.7
DR,1.0,30,1.7933,0.930046,10.7
DR,1.0,40,4.4794,0.904616,10.7
DR,1.0,50,6.9949,0.880797,10.7
DR,1.0,60,9.0693,0.861152,10.7
DR,1.0,70,10.7940,0.844818,10.7
DR,1.0,80,12.2443,0.831084,10.7
DR,1.0,90,13.4811,0.819370,10.7
DR,1.0,100,14.5487,0.809259,10.7
DR,1.2,10,0.0000,1.110931,10.7
DR,1.2,20,0.4784,1.105624,10.7
DR,1.2,30,3.1394,1.076086,10.7
DR,1.2,40,6.2641,1.041380,10.7
DR,1.2,50,8.8146,1.013048,10.7
DR,1.2,60,10.9009,0.989870,10.7
DR,1.2,70,12.6255,0.970709,10.7
DR,1.2,80,14.0758,0.954597,10.7
DR,1.2,90,15.3126,0.940855,10.7
DR,1.2,100,16.3802,0.928994,10.7
DR,1.4,10,0.0000,1.262960,10.7
DR,1.4,20,1.1825,1.248050,10.7
DR,1.4,30,4.6665,1.204076,10.7
DR,1.4,40,7.8778,1.163527,10.7
DR,1.4,50,10.4547,1.130982,10.7
DR,1.4,60,12.5410,1.104633,10.7
DR,1.4,70,14.2657,1.082849,10.7
DR,1.4,80,15.7159,1.064532,10.7
DR,1.4,90,16.9528,1.048909,10.7
DR,1.4,100,18.0203,1.035424,10.7
DR,1.6,10,0.0007,1.402509,10.7
DR,1.6,20,2.1327,1.372658,10.7
DR,1.6,30,6.1067,1.316949,10.7
DR,1.6,40,9.3550,1.271397,10.7
DR,1.6,50,11.9319,1.235256,10.7
DR,1.6,60,14.0182,1.205994,10.7
DR,1.6,70,15.7429,1.181803,10.7
DR,1.6,80,17.1931,1.161462,10.7
DR,1.6,90,18.4300,1.144112,10.7
DR,1.6,100,19.4976,1.129137,10.7
DR,1.8,10,0.0606,1.528498,10.7
DR,1.8,20,3.2275,1.480142,10.7
DR,1.8,30,7.4249,1.415971,10.7
DR,1.8,40,10.6925,1.366000,10.7
DR,1.8,50,13.2694,1.326589,10.7
DR,1.8,60,15.3557,1.294680,10.7
DR,1.8,70,17.0803,1.268300,10.7
DR,1.8,80,18.5306,1.246117,10.7
DR,1.8,90,19.7674,1.227197,10.7
DR,1.8,100,20.8350,1.210866,10.7
DR,2.0,10,0.2204,1.640220,10.7
DR,2.0,20,4.3938,1.571715,10.7
DR,2.0,30,8.6415,1.501913,10.7
DR,2.0,40,11.9091,1.448205,10.7
DR,2.0,50,14.4860,1.405846,10.7
DR,2.0,60,16.5723,1.371549,10.7
DR,2.0,70,18.2970,1.343195,10.7
DR,2.0,80,19.7472,1.319352,10.7
DR,2.0,90,20.9841,1.299017,10.7
DR,2.0,100,22.0579,1.281360,10.7
DR,2.2,10,0.5284,1.736982,10.7
DR,2.2,20,5.4772,1.650676,10.7
DR,2.2,30,9.7530,1.576035,10.7
DR,2.2,40,13.0206,1.518984,10.7
DR,2.2,50,15.5975,1.473987,10.7
DR,2.2,60,17.6837,1.437555,10.7
DR,2.2,70,19.4084,1.407436,10.7
DR,2.2,80,20.8587,1.382108,10.7
DR,2.2,90,22.1052,1.360336,10.7
DR,2.2,100,23.1835,1.341503,10.7
DR,2.4,10,1.0544,1.817792,10.7
DR,2.4,20,6.4849,1.718134,10.7
